Date,Shift,"Worker ID"
2021-02-27,"Day Heavy Shift",606
2021-02-27,"Day Heavy Shift",717
2021-02-27,"Day Heavy Shift",604
2021-02-27,"Day Heavy Shift",604
2021-02-27,"Day Heavy Shift",600
2021-02-27,"Day Heavy Shift",600
2021-02-27,"Day Heavy Shift",603
2021-02-27,"Day Heavy Shift",695
2021-02-27,"Day Heavy Shift",313
2021-02-27,"Day Heavy Shift",313
2021-02-27,"Day Heavy Shift",313
2021-02-27,"Day Heavy Shift",694
2021-02-27,"Day Heavy Shift",605
2021-02-27,"Day Heavy Shift",696
2021-02-27,"Day Heavy Shift",495
2021-02-27,"Day Heavy Shift",819
2021-02-27,"Day Heavy Shift",398
2021-02-27,"Day Heavy Shift",818
2021-02-27,"Day Heavy Shift",816
2021-02-27,"Day Heavy Shift",387
2021-02-27,"Day Heavy Shift",809
2021-02-27,"Day Shift",533
2021-02-27,"Day Shift",485
2021-02-27,"Day Heavy Shift",486
2021-02-27,"Day Shift",482
2021-02-27,"Day Shift",489
2021-02-27,"Day Shift",484
2021-02-27,"Day Shift",480
2021-02-27,"Day Shift",492
2021-02-27,"Day Shift",490
2021-02-27,"Day Shift",571
2021-02-27,"Day Shift",441
2021-02-27,"Day Shift",481
2021-02-27,"Day Shift",532
2021-02-27,"Day Heavy Shift",711
2021-02-27,"Day Shift",531
2021-02-27,"Day Heavy Shift",551
2021-02-27,"Day Shift",536
2021-02-27,"Day Heavy Shift",448
2021-02-27,"Day Shift",530
2021-02-27,"Day Heavy Shift",449
2021-02-27,"Day Heavy Shift",447
2021-02-27,"Day Heavy Shift",557
2021-02-27,"Day Shift",451
2021-02-27,"Day Shift",442
2021-02-27,"Day Shift",402
2021-02-27,"Day Shift",405
2021-02-27,"Day Shift",450
2021-02-27,"Day Shift",401
2021-02-27,"Day Shift",400
2021-02-27,"Day Shift",534
2021-02-27,"Day Shift",546
2021-02-27,"Day Shift",503
2021-02-27,"Day Heavy Shift",396
2021-02-27,"Day Shift",393
2021-02-27,"Day Heavy Shift",549
2021-02-27,"Day Heavy Shift",796
2021-02-27,"Day Heavy Shift",743
2021-02-27,"Day Shift",542
2021-02-27,"Day Heavy Shift",746
2021-02-27,"Day Shift",555
2021-02-27,"Day Heavy Shift",749
2021-02-27,"Day Heavy Shift",751
2021-02-27,"Day Heavy Shift",790
2021-02-27,"Day Heavy Shift",752
2021-02-27,"Day Heavy Shift",748
2021-02-27,"Day Heavy Shift",741
2021-02-27,"Day Heavy Shift",787
2021-02-27,"Day Heavy Shift",753
2021-02-27,"Day Heavy Shift",798
2021-02-27,"Day Heavy Shift",788
2021-02-27,"Day Shift",553
2021-02-27,"Day Shift",439
2021-02-27,"Day Shift",776
2021-02-27,"Day Heavy Shift",769
2021-02-27,"Day Heavy Shift",773
2021-02-27,"Day Heavy Shift",775
2021-02-27,"Day Heavy Shift",857
2021-02-27,"Day Heavy Shift",813
2021-02-27,"Day Heavy Shift",858
2021-02-27,"Day Heavy Shift",554
2021-02-27,"Day Heavy Shift",747
2021-02-27,"Day Heavy Shift",509
2021-02-27,"Day Heavy Shift",801
2021-02-27,"Day Heavy Shift",774
2021-02-27,"Day Heavy Shift",795
2021-02-27,"Day Shift",556
2021-02-27,"Day Shift",543
2021-02-27,"Day Shift",540
2021-02-27,"Day Heavy Shift",866
2021-02-27,"Day Heavy Shift",710
2021-02-27,"Day Heavy Shift",726
2021-02-27,"Day Heavy Shift",598
2021-02-27,"Day Heavy Shift",598
2021-02-27,"Day Heavy Shift",285
2021-02-27,"Day Heavy Shift",285
2021-02-27,"Day Heavy Shift",285
2021-02-27,"Day Shift",550
2021-02-27,"Day Shift",513
2021-02-27,"Day Shift",388
2021-02-27,"Day Shift",339
2021-02-27,"Day Shift",356
